address,module,current_name,namespace,candidate_kind,target,suggested_body,provenance,review_status,promoted_source,notes
0x0031804C,static.crs,~EvolveManager,pml::pokepara::EvolveManager,EMPTY_ARM_FUNCTION,,{},RETAIL_ORIGINAL_SYMBOL,NEEDS_PROTOTYPE_AND_ARM_REVIEW,,Staged from exact machine-code pattern; not accepted source and not an ASM_MATCH claim.
0x003E6A9C,static.crs,~DressUpParamSaveData,System::DressUpParamSaveData,EMPTY_ARM_FUNCTION,,{},RETAIL_ORIGINAL_SYMBOL,NEEDS_PROTOTYPE_AND_ARM_REVIEW,,Staged from exact machine-code pattern; not accepted source and not an ASM_MATCH claim.
0x0044391C,static.crs,~GameTime,Savedata::GameTime,EMPTY_ARM_FUNCTION,,{},RETAIL_ORIGINAL_SYMBOL,NEEDS_PROTOTYPE_AND_ARM_REVIEW,,Staged from exact machine-code pattern; not accepted source and not an ASM_MATCH claim.
0x00446A10,static.crs,IncrementPokeSeeAmount,Savedata::ZukanData,EMPTY_ARM_FUNCTION,,{},RETAIL_ORIGINAL_SYMBOL,NEEDS_PROTOTYPE_AND_ARM_REVIEW,,Staged from exact machine-code pattern; not accepted source and not an ASM_MATCH claim.
0x00163A64,static.crs,~QRDecoder,mw::qrd::QRDecoder,EMPTY_ARM_FUNCTION,,{},RETAIL_ORIGINAL_SYMBOL,NEEDS_PROTOTYPE_AND_ARM_REVIEW,,Staged from exact machine-code pattern; not accepted source and not an ASM_MATCH claim.
0x00385FA8,static.crs,~FieldSodateya,Field::FieldSodateya,EMPTY_ARM_FUNCTION,,{},RETAIL_ORIGINAL_SYMBOL,NEEDS_PROTOTYPE_AND_ARM_REVIEW,,Staged from exact machine-code pattern; not accepted source and not an ASM_MATCH claim.
0x0038625C,static.crs,~DataAccessor,Field::PokemonSearch::DataAccessor,EMPTY_ARM_FUNCTION,,{},RETAIL_ORIGINAL_SYMBOL,NEEDS_PROTOTYPE_AND_ARM_REVIEW,,Staged from exact machine-code pattern; not accepted source and not an ASM_MATCH claim.
0x0038D55C,static.crs,~ZoneDataAccessor,Field::ZoneDataAccessor,EMPTY_ARM_FUNCTION,,{},RETAIL_ORIGINAL_SYMBOL,NEEDS_PROTOTYPE_AND_ARM_REVIEW,,Staged from exact machine-code pattern; not accepted source and not an ASM_MATCH claim.
0x003A6520,static.crs,FieldActionCommandManager,Field::MoveModel::FieldActionCommandManager,EMPTY_ARM_FUNCTION,,{},RETAIL_ORIGINAL_SYMBOL,NEEDS_PROTOTYPE_AND_ARM_REVIEW,,Staged from exact machine-code pattern; not accepted source and not an ASM_MATCH claim.
0x003A843C,static.crs,~FieldMoveModelAreaCharaAccessor,Field::MoveModel::FieldMoveModelAreaCharaAccessor,EMPTY_ARM_FUNCTION,,{},RETAIL_ORIGINAL_SYMBOL,NEEDS_PROTOTYPE_AND_ARM_REVIEW,,Staged from exact machine-code pattern; not accepted source and not an ASM_MATCH claim.
